Generation,Individual_ID,Fitness,Max_Altitude,Flight_Time,Stability,Drag,Total_Mass,Body_Length,Body_Diameter,Nose_Cone_Length,Nose_Cone_Shape,Fin_Root_Chord,Fin_Tip_Chord,Fin_Sweep,Fin_Thickness,Fin_Height,Fin_Count,Fin_Position,Launch_Lug_Position,Ballast_Mass,Parachute_Diameter,Is_Valid,Simulation_Successful
0,0,-10000.0,0.0,0.0,0.0,0.0,0.0,0.2259031736383716,0.03368211783671039,0.09799710527363453,CONICAL,0.0870943844598204,0.07899278974495418,0.040290455624735245,0.003815574500880535,0.03046520078622094,4,0.38979395044166903,0.22442181000854763,0.016510871683597418,0.522792508140092,True,False
0,1,346.7625851040499,23.78611983348709,4.8580000000000005,6.875808981791327,0.05920937807237998,0.1669920966599293,0.3404926283520373,0.03453440198575816,0.1130145517034605,PARABOLIC,0.07909041734434644,0.07534977424085286,0.041698746383867884,0.0013556017286260019,0.04200883309785247,4,0.5816087799737919,0.43574733788832076,0.07470481627646894,0.278546665221877,True,True
0,2,228.10644461084587,23.805347734334465,4.8580000000000005,11.190064887972083,0.0401149119705022,0.16861389743394914,0.3892806831504194,0.0254697222684439,0.1987228452796021,PARABOLIC,0.05331090178698676,0.03270829000182993,0.0330864374093576,0.0010139489283946797,0.04034234443786918,3,0.4910271185950892,0.3251769836500228,0.06800073500122901,0.4969885169125582,True,True
0,3,769.890383863003,38.13245365567556,15.346473198464507,7.156381589290297,1.3052037233113882,0.13635199505313902,0.4411334497273627,0.03049260772218242,0.11627017638272238,OGIVE,0.06766643062869185,0.06426675370195213,0.03065416362258437,0.0030484758899842986,0.033095964564406076,3,0.5433758569367068,0.20040547951888116,0.0182140660801386,0.5439662848745056,True,True
0,4,788.9691196606453,41.17048865135055,11.658036340240388,6.217972013624562,0.335350713635404,0.13205355640691566,0.2859351227973834,0.029441226228744795,0.17897945078006455,CONICAL,0.030770413661960802,0.014402028291145475,0.0016878757879693607,0.0030947794098288785,0.047161239006299746,3,0.3843277952205034,0.4957552300725044,0.0515085399138391,0.3071399269687871,True,True
0,5,921.2352856006269,60.57102659755858,13.851701578039977,2.9763348062067063,0.24833109572709314,0.10665240956524019,0.34956168583685787,0.036729181068614676,0.16117567812765987,OGIVE,0.10523228249190049,0.03482000820886647,0.07998289790221504,0.0015939553650335374,0.029821844455423234,4,0.39331176872055695,0.3036333857703476,0.010972177188388789,0.18329515296070584,True,True
0,6,803.5515718712352,39.536495981474786,14.83618489802743,5.604328296689485,0.7568309113595864,0.1344142164733576,0.29526883910388063,0.029465373180898317,0.07478792386516028,CONICAL,0.04908521819355158,0.04621141662285137,0.020848431144401276,0.0015666768093440036,0.036415839391183716,3,0.30291705312412837,0.39182409937894885,0.047659997004009344,0.4918473858467911,True,True
0,7,606.1205232023843,29.375549961358253,7.545745900078848,7.8653186516322995,1.0491649107422902,0.15473419075521944,0.38516717709501813,0.024906542736660008,0.17031880315666093,CONICAL,0.08192623229398782,0.03569103403774817,0.03799681717090841,0.003249780799198494,0.020055791848476105,4,0.6627586308644163,0.3816041716087941,0.06628119258806231,0.38550758572633953,True,True
0,8,775.8329782326296,33.05676589256044,11.169389486414827,5.440155912999937,1.515857724550095,0.14634783249289635,0.33392777884329294,0.02699096611709051,0.16193030699049787,PARABOLIC,0.06264731615280536,0.02796235873962003,0.00970941436265201,0.0027260356965070212,0.020719363649659168,4,0.5633172976668053,0.42539060762219083,0.04438418522501726,0.5177835981196995,True,True
0,9,692.9196982108724,99.96688440548141,39.39908525757316,9.140458562623863,0.43278989686392777,0.08277362699223485,0.4699509628505738,0.02440031504889108,0.09441851938723066,OGIVE,0.09599035134592436,0.02430819828712958,0.0863067795975789,0.0010455245249191495,0.027129112054015803,3,0.5957973092187376,0.27048405448778745,0.003643152512274428,0.34208948665413597,True,True
0,10,765.6872538556239,42.01954461268907,16.430194578912793,8.136951024479531,0.8929196938216974,0.1308682553505893,0.4271804133963337,0.02851383136343973,0.07151688282573869,CONICAL,0.03952191344171454,0.02375794539740727,0.03284041922493651,0.00245404674099413,0.023001640792259363,4,0.5096321845998963,0.23417825153503546,0.03911207657128741,0.48352429011102127,True,True
0,11,817.6172592129342,44.06319312765838,20.81533673340026,5.311349384103532,1.1485606528646557,0.12636165289784196,0.4696759360713951,0.03544064312834141,0.08776829240107986,CONICAL,0.06388076162636516,0.01807196878818189,0.00046907670784734814,0.0018438699913362285,0.032121359759128616,3,0.4265656097395336,0.34643725859281815,0.008987565447966422,0.5882009517851003,True,True
0,12,790.3958191535152,37.5977235247322,9.08207520326625,5.045495220983244,0.3085652050246589,0.13571276993804757,0.3737594760530789,0.03521855059343987,0.12251321603713063,PARABOLIC,0.08226280252461174,0.06457821035195353,0.001153113087096449,0.0031095807835857525,0.04704100344078763,4,0.5355622033232756,0.34002276153008165,0.02394563348814499,0.23586824993310299,True,True
0,13,537.2470154744734,26.4436517578907,5.3425600630464425,4.7299391431265105,0.3827721925332626,0.16014498601660265,0.3009659391130449,0.03872717324022509,0.12767758612090924,PARABOLIC,0.05871962830733806,0.03309101113365766,0.019925285609520605,0.003152543104737093,0.04546559343946571,4,0.5119597853741172,0.38755135344626956,0.05915117222626008,0.2405327169856346,True,True
0,14,692.0229653800293,29.547234695850463,8.504091041865415,6.072564330636318,1.2387312493528941,0.15245070767031177,0.4715887901371565,0.03893897195384864,0.12950461243372602,OGIVE,0.062281288057469006,0.03167937162436148,0.03224904869522713,0.002855020431735101,0.03900935515218975,3,0.5801119173118596,0.43279814942175643,0.028511304163992276,0.4538593448973318,True,True
0,15,587.5894921525746,26.630628116799194,6.945100346928856,3.7026877021331797,1.0483955682409645,0.15925296553847543,0.44359671357409325,0.038273823134951215,0.15862571235137712,CONICAL,0.11978672704836049,0.08820713756167801,0.01138037061126561,0.0034155421282950345,0.04578055353129265,4,0.48061414309330386,0.2725839534076924,0.012862410892977714,0.39641616433883503,True,True
0,16,509.01265672349996,26.718737320337844,5.892625347817321,5.868929920099136,0.8839018583182198,0.1605703461701949,0.23158903810276749,0.02615132925917106,0.17819281249878327,PARABOLIC,0.06146337499525339,0.059166923303629236,0.0477274170572284,0.0016447338384358136,0.035137919726691245,3,0.5997587176899193,0.3666801976394617,0.07665107662505999,0.3794003729782467,True,True
0,17,788.9334054309263,35.45628121463949,12.36527022010817,5.170137419803292,1.0747697023679024,0.1401038385645738,0.4064839775748596,0.037283756384205655,0.09314059034645872,OGIVE,0.11220027137753433,0.03675546440348261,0.08893873576838589,0.0021385434776591684,0.0371874245757415,3,0.6907969874810016,0.43200589830583774,0.025574289066053534,0.47977918562890354,True,True
0,18,856.4445649063866,41.0009029227521,10.304312872099318,2.545557691035705,0.3509878082440971,0.13176378288356744,0.3169513606761533,0.03461030682679173,0.12196328293911499,PARABOLIC,0.10578675344689666,0.0777139708785062,0.022077650802020593,0.003122713149232349,0.028467963480796984,3,0.48179345427730036,0.42837783715829286,0.03725217399541769,0.24088667764336713,True,True
0,19,932.554654700366,63.4422426979046,17.3614412626839,3.310957583980874,0.26202471409545697,0.1047478619977074,0.20851499601793821,0.03637196351106896,0.19752122547775502,CONICAL,0.04627705719861376,0.03471863565795157,0.01780731481321611,0.003196920142749975,0.044129525128267816,4,0.5721702650556912,0.4523040813283898,0.013961832053235384,0.2397086697964026,True,True
0,20,686.1287195034088,32.96834692422061,7.958233961036555,9.024214669852602,0.39958784304112127,0.14499360112994616,0.3995936243174718,0.03252927401157914,0.11933469204674642,PARABOLIC,0.06460238471123012,0.04506206971373348,0.002781095369619328,0.001232736661379433,0.054803865979748276,3,0.5211787507228665,0.418127365893469,0.05482065597935314,0.28179930326347,True,True
0,21,763.511979015785,49.46954597602608,22.671557612834693,8.534323651306448,0.7314551208223601,0.11766752156602892,0.4357589070853176,0.038547264941710256,0.08072139085758337,CONICAL,0.03104257282501718,0.029880845454573812,0.0053867880039690915,0.0023754121563899365,0.05903741171363919,4,0.6794535601117397,0.3901409435002711,0.00025530822436754087,0.5233824172011835,True,True
0,22,863.6032899923271,97.68663345414583,28.480218061155664,3.164588951105303,0.3368651605629171,0.08381359695963383,0.268973454715846,0.031383519851899154,0.06454355273444401,PARABOLIC,0.06328407269203801,0.032934374399860154,0.048655504118054194,0.001951499720319689,0.02606672101184756,3,0.522533373124477,0.26528532013166906,0.015459890873481355,0.24037631251724156,True,True
0,23,751.8666103371372,30.087396032907787,7.899889531271007,4.190672141642895,0.8103171722272844,0.1513103285229346,0.28324851374159554,0.03769642192293769,0.10887932771144561,OGIVE,0.0779472094122594,0.07632950848637055,0.0066325981897391055,0.002431339950487059,0.040654290643229125,4,0.6407635909254252,0.2597351654915599,0.04294671465347443,0.3922088373204966,True,True
0,24,475.50058465320103,25.078492885185042,5.361691058011695,3.4254603466259295,0.8247012184664638,0.16431445952340004,0.33722147031016303,0.0330318308971517,0.18636042295592087,OGIVE,0.10826268754702857,0.0940987064915099,0.0029986719059905266,0.0034205522645038996,0.04463324141998774,3,0.3354563857262158,0.20082736355887038,0.04242842205724892,0.32300236146634886,True,True
0,25,848.8176997529949,58.832982936139544,14.478998064027044,6.437490981079807,0.2623842003264943,0.10835780803145996,0.49396653358198206,0.035338825715965604,0.08509803542926694,PARABOLIC,0.051202207848513995,0.04412253830669864,0.02840377360837394,0.0012174947591595908,0.03405640176757266,4,0.34978442232458823,0.36216413003864956,0.01780186093694134,0.2074025126068566,True,True
0,26,817.4892818008652,47.15160463758638,18.153342762276633,6.359668983149502,0.5700107492009204,0.12192725914593125,0.3095054752568418,0.036459086106200245,0.15126811781664326,CONICAL,0.03316371693231783,0.020205738680062438,0.0029061062143392576,0.0027977875805961358,0.05145071398531838,4,0.6735277667989511,0.47751786566729465,0.019427848358725727,0.4358615918534682,True,True
0,27,882.1422559908192,45.994158699747594,12.728322435983477,2.3147157601179496,0.32357329455167033,0.12585583769344558,0.2307078669907835,0.033088758555636234,0.1346285932928627,OGIVE,0.03908640866788066,0.027910859768099136,0.007495607619508108,0.002050229571008362,0.022263037113437925,3,0.4170534199475634,0.43503365873472477,0.04917276442162085,0.27419717812774064,True,True
0,28,861.7224464561687,52.79188677378127,22.000710772160765,4.303349061366163,0.6562546730487235,0.1155868218419415,0.3692686643930523,0.03482849595570306,0.11203413154196573,PARABOLIC,0.06796169413397492,0.05553692838809719,0.06226330735985499,0.0034029656929362344,0.037672565509403046,3,0.5385833884946398,0.3308708312395433,0.004218926759434094,0.4440612189589781,True,True
0,29,864.779698972756,45.12995873600058,14.58185936346636,3.4113342627146994,0.4139028718474375,0.12607881151698844,0.21403074978041922,0.02999517508761072,0.109436312285533,CONICAL,0.0716257374430768,0.05205216292726867,0.0387507233622102,0.002574539959473824,0.0365910400801851,4,0.3614796494294554,0.4194895788210813,0.042991602964044986,0.3533166824965369,True,True
1,0,853.7852279340119,44.33829873940957,10.481636826100285,3.2620055530363596,0.24235669929659384,0.12664745830239252,0.3169513606761533,0.03234247915053143,0.12196328293911499,CONICAL,0.10578675344689666,0.09115267035419097,0.022077650802020593,0.003122713149232349,0.032523672101344894,3,0.4721337458566629,0.45517395363951163,0.03725217399541769,0.2101121036340489,True,True
1,1,872.9159466612197,59.02724492068587,25.564198748490174,4.05395756374722,0.6321507737474983,0.109669210934915,0.3595230249363812,0.03319798857028049,0.11203413154196573,PARABOLIC,0.06796169413397492,0.045173828524833724,0.060677339775055156,0.0034029656929362344,0.033616856888855136,3,0.4591482074179813,0.24497638256356546,0.004218926759434094,0.4440612189589781,True,True
1,2,849.5223839787316,96.58119452617244,28.111996601426636,4.1235518563319955,0.3498840042981103,0.08442349995259707,0.3064787754630406,0.03001923324408,0.06454355273444401,PARABOLIC,0.06328407269203801,0.032934374399860154,0.04210753910181493,0.0018103074206501984,0.02606672101184756,3,0.522533373124477,0.2509221300108955,0.015459890873481355,0.24037631251724156,True,True
1,3,863.6032899923271,97.68663345414583,28.480218061155664,3.164588951105303,0.3368651605629171,0.08381359695963383,0.268973454715846,0.031383519851899154,0.06454355273444401,PARABOLIC,0.06328407269203801,0.032934374399860154,0.048655504118054194,0.001951499720319689,0.02606672101184756,3,0.522533373124477,0.26528532013166906,0.015459890873481355,0.24037631251724156,True,True
1,4,863.6032899923271,97.68663345414583,28.480218061155664,3.164588951105303,0.3368651605629171,0.08381359695963383,0.268973454715846,0.031383519851899154,0.06454355273444401,PARABOLIC,0.06328407269203801,0.032934374399860154,0.048655504118054194,0.001951499720319689,0.02606672101184756,3,0.522533373124477,0.26528532013166906,0.015459890873481355,0.24037631251724156,True,True
1,5,893.8729815912423,53.994474610807536,20.771790993203304,3.139368285834309,0.5588311167159093,0.11428044776554791,0.29034206320936184,0.0366540651294576,0.16117567812765987,OGIVE,0.10523228249190049,0.02186883187974533,0.07998289790221504,0.0015939553650335374,0.029821844455423234,4,0.5991488960298773,0.2993237422989757,0.010972177188388789,0.3974493503717006,True,True
1,6,811.039182116117,49.12980538724073,12.165393231717006,6.522099743242388,0.23589473595928356,0.11927272979876187,0.3687250978843379,0.03653420204535732,0.15126811781664326,OGIVE,0.030453128286876352,0.030453128286876352,0.006017861478536828,0.0027977875805961358,0.05145071398531838,4,0.46769063948963074,0.48182750913866657,0.019427848358725727,0.22170739444247337,True,True
1,7,921.2352856006269,60.57102659755858,13.851701578039977,2.9763348062067063,0.24833109572709314,0.10665240956524019,0.34956168583685787,0.036729181068614676,0.16117567812765987,OGIVE,0.10523228249190049,0.03482000820886648,0.07998289790221504,0.0015939553650335374,0.029821844455423234,4,0.39331176872055695,0.3036333857703476,0.010972177188388789,0.18329515296070584,True,True
1,8,921.2352856006269,60.57102659755858,13.851701578039977,2.9763348062067063,0.24833109572709314,0.10665240956524019,0.34956168583685787,0.036729181068614676,0.16117567812765987,OGIVE,0.10523228249190049,0.03482000820886648,0.07998289790221504,0.0015939553650335374,0.029821844455423234,4,0.39331176872055695,0.3036333857703476,0.010972177188388789,0.18329515296070584,True,True
1,9,795.7168281125695,43.71345665219529,15.667922886023591,6.847747257625149,0.7293879147360175,0.1275548320586525,0.4411334497273627,0.03049260772218242,0.15416750448212346,OGIVE,0.06766643062869185,0.06426675370195213,0.03065416362258437,0.0031616272697071613,0.030153640444326637,4,0.5433758569367068,0.20040547951888116,0.015130068099142056,0.40628919156552673,True,True
1,10,914.0644972887713,58.49451431785685,19.641665896143124,3.094658253560458,0.42978247890750026,0.10936089181948251,0.34956168583685787,0.036729181068614676,0.12327835002825879,OGIVE,0.10523228249190049,0.03482000820886647,0.07998289790221504,0.0014808039853106748,0.03276416857550267,3,0.39331176872055695,0.3036333857703476,0.014056175169385336,0.32097224626968474,True,True
1,11,882.9983494364533,53.75043481988017,16.396928709659946,4.198203170285538,0.40326068203917753,0.11368146820092598,0.3737594760530789,0.03521855059343987,0.12251321603713063,CONICAL,0.08993511445825844,0.06457821035195353,0.0,0.0031095807835857525,0.04704100344078763,3,0.5355622033232756,0.34002276153008165,0.009740583393396235,0.28981035853678366,True,True
1,12,961.4729365807519,74.70232484324305,20.96679034818052,3.118682801923669,0.28781562996998594,0.09709762681383774,0.2,0.0315622771053687,0.19752122547775502,CONICAL,0.051623144552609954,0.03478357566225468,0.0,0.003196920142749975,0.03828397816350285,4,0.47686805800744747,0.20729111754311225,0.013961832053235384,0.2397086697964026,True,True
